category_class	count_descendants
MONDO:0970963	0
MONDO:0970962	0
MONDO:0970961	0
MONDO:0970960	0
MONDO:0970959	0
MONDO:0970958	0
MONDO:0970957	0
MONDO:0970952	0
MONDO:0970951	0
MONDO:0970950	0
MONDO:0970945	0
MONDO:0970944	0
MONDO:0970943	0
MONDO:0968991	0
MONDO:0968990	0
MONDO:0968989	2
MONDO:0968988	3
MONDO:0968987	3
MONDO:0968986	0
MONDO:0968983	0
MONDO:0968982	0
MONDO:0968981	0
MONDO:0968980	0
MONDO:0968979	0
MONDO:0968978	0
MONDO:0968977	0
MONDO:0968976	0
MONDO:0968974	0
MONDO:0968959	0
MONDO:0968955	3
MONDO:0968951	2
MONDO:0968949	2
MONDO:0968947	0
MONDO:0968946	0
MONDO:0968945	0
MONDO:0968944	0
MONDO:0958357	0
MONDO:0958356	2
MONDO:0958355	0
MONDO:0958354	0
MONDO:0958353	0
MONDO:0958352	0
MONDO:0958351	0
MONDO:0958350	5
MONDO:0958349	0
MONDO:0958348	0
MONDO:0958347	0
MONDO:0958346	0
MONDO:0958345	7
MONDO:0958344	0
MONDO:0958343	0
MONDO:0958342	0
MONDO:0958335	0
MONDO:0958334	0
MONDO:0958333	0
MONDO:0958332	0
MONDO:0958331	0
MONDO:0958330	0
MONDO:0958329	0
MONDO:0958328	0
MONDO:0958326	0
MONDO:0958325	0
MONDO:0958324	0
MONDO:0958323	0
MONDO:0958322	0
MONDO:0958303	0
MONDO:0958302	0
MONDO:0958301	0
MONDO:0958300	0
MONDO:0958299	0
MONDO:0958298	0
MONDO:0958297	0
MONDO:0958296	0
MONDO:0958295	0
MONDO:0958279	0
MONDO:0958278	0
MONDO:0958277	0
MONDO:0958275	0
MONDO:0958274	0
MONDO:0958273	0
MONDO:0958270	4
MONDO:0958269	0
MONDO:0958268	0
MONDO:0958267	0
MONDO:0958266	0
MONDO:0958265	0
MONDO:0958264	0
MONDO:0958263	0
MONDO:0958262	0
MONDO:0958260	9
MONDO:0958259	10
MONDO:0958258	0
MONDO:0958257	0
MONDO:0958256	0
MONDO:0958242	0
MONDO:0958241	0
MONDO:0958240	0
MONDO:0958239	0
MONDO:0958237	0
MONDO:0958236	0
MONDO:0958235	0
MONDO:0958234	0
MONDO:0958233	0
MONDO:0958232	0
MONDO:0958231	0
MONDO:0958230	0
MONDO:0958229	0
MONDO:0958228	0
MONDO:0958227	0
MONDO:0958226	0
MONDO:0958224	0
MONDO:0958206	0
MONDO:0958205	0
MONDO:0958204	0
MONDO:0958203	0
MONDO:0958202	0
MONDO:0958200	0
MONDO:0958199	0
MONDO:0958197	0
MONDO:0958196	0
MONDO:0958195	0
MONDO:0958194	0
MONDO:0958193	0
MONDO:0958192	0
MONDO:0958191	0
MONDO:0958190	0
MONDO:0958189	0
MONDO:0958188	0
MONDO:0958187	0
MONDO:0958186	0
MONDO:0958185	0
MONDO:0958184	3
MONDO:0958183	0
MONDO:0958182	0
MONDO:0958181	0
MONDO:0958180	0
MONDO:0958179	0
MONDO:0958178	0
MONDO:0958177	0
MONDO:0958176	0
MONDO:0958175	0
MONDO:0958174	0
MONDO:0958165	0
MONDO:0958164	0
MONDO:0958162	0
MONDO:0958161	0
MONDO:0958160	4
MONDO:0958159	3
MONDO:0958151	0
MONDO:0958150	0
MONDO:0958138	0
MONDO:0958137	0
MONDO:0958130	0
MONDO:0958129	0
